,Infosec URL,Report Date,Filename,MD5,IsDLL,Antidbg,AntiVM,Signed,XOR,Packer1
5942,https://infosec.cert-pa.it/analyze/2df62ac7b559030c6f0d2430ee3d8bd2.html,2018-11-01 18:48,p_82367ep41.jpg,2df62ac7b559030c6f0d2430ee3d8bd2,,,,,,
5943,https://infosec.cert-pa.it/analyze/54bf738d4c7b3be0dc774be24661426c.html,2018-11-01 18:45,p_69215ufx1.jpg,54bf738d4c7b3be0dc774be24661426c,,,,,,
5944,https://infosec.cert-pa.it/analyze/eb27c45cea23e521c18b39921abbcb49.html,2018-11-01 9:42,SOA.exe,eb27c45cea23e521c18b39921abbcb49,,,,,,
5945,https://infosec.cert-pa.it/analyze/104a9ee229a1aa14b619554a7a703461.html,2018-11-01 9:21,payment%20slip.exe,104a9ee229a1aa14b619554a7a703461,,,,,,
5946,https://infosec.cert-pa.it/analyze/9c2d8923d503112151e7b248bf505a45.html,2018-10-31 23:33,nike.exe,9c2d8923d503112151e7b248bf505a45,,Yes,Yes,,,
5947,https://infosec.cert-pa.it/analyze/6b24cb791e9eb31ab15c9b07d7e7e0a0.html,2018-10-31 23:30,JhM8Ii.jpg,6b24cb791e9eb31ab15c9b07d7e7e0a0,,,,Yes,,
5948,https://infosec.cert-pa.it/analyze/fd9fe818beea214cef9f400a7de776b6.html,2018-10-31 23:18,B12.exe,fd9fe818beea214cef9f400a7de776b6,,Yes,Yes,,,
5949,https://infosec.cert-pa.it/analyze/1cfee62ec5ed75639aef30d50789fa81.html,2018-10-31 22:18,parzyn.exe,1cfee62ec5ed75639aef30d50789fa81,,Yes,,,,
5950,https://infosec.cert-pa.it/analyze/9425027ca64375d2484b986a5c8f71b1.html,2018-10-31 22:15,mfzyn.exe,9425027ca64375d2484b986a5c8f71b1,,Yes,,,,
5951,https://infosec.cert-pa.it/analyze/bd0abf92444d841ceddea780f34999da.html,2018-10-31 22:12,nano.exe,bd0abf92444d841ceddea780f34999da,,,,,,
5952,https://infosec.cert-pa.it/analyze/ca3e916e0ac6cb1a594a48732fe54954.html,2018-10-31 22:06,gudyJi.jpg,ca3e916e0ac6cb1a594a48732fe54954,,,,,,
